City,Longitude,Latitude,Distance
Calbayog,126.402359,13.873023,2.54841911781
-,32.312861,30.966234,0.29489828755
Obninsk,36.468345,55.599375,0.54080033284
Chongqing,106.594982,29.564977,0.0
Kulunda,78.954756,52.572772,0.0128062484749
-,9.83157,47.138808,0.31503968004
Pochutla,-96.275377,12.922246,2.81476268982
Martapura,114.908181,-5.325725,1.91335516828
Dijon,4.482789,46.973559,0.652644619989
-,1.485109,48.450807,0.6898014207
Poti,41.713794,42.411075,0.258435678651
-,80.846898,52.965811,0.963144848919
Uelen,-169.430673,66.405036,0.455412999375
-,37.903584,55.760941,0.288140590684
Krasnodar,38.893069,44.916152,0.149214610545
-,86.214421,-3.584135,11.0922644217
-,113.021781,27.474186,0.378312040517
-,-0.877128,45.950861,0.348116359857
Melekeok,136.083548,13.152725,5.85033375116
Turkistan,68.23955,43.273994,0.0317647603485
-,10.626683,47.180062,0.789359867234
-,15.682845,48.217299,0.684211224696
-,-80.086876,10.288997,0.948008438781
-,74.051295,43.906771,0.437012585631
-,-168.656194,-25.2679,7.75550552833
Mahilyow,29.520887,54.318292,0.906629472276
Maxixe,37.775894,-23.408629,2.43035347223
-,37.736958,55.750565,0.121004132161
Egvekinot,-179.735521,62.923954,3.44254382688
Yeghegnadzor,44.984518,39.546203,0.409058675498
-,9.535402,53.621969,0.470541177794
Chita,113.518793,52.031847,0.0586941223633
-,7.034273,51.21613,0.140185591271
-,8.027695,54.332076,0.957197994148
-,12.431077,52.865736,0.790871038792
-,47.673243,46.326201,0.382691781986
Shangqiu,115.850338,34.435081,0.200561711201
Sarapul,53.906459,56.422353,0.121235308388
-,28.745081,41.060248,0.268793601114
Buynaksk,46.669375,43.835444,1.09596532792
Geneva,6.142697,46.205427,0.00583095189485
Poznan,16.887369,52.379847,0.0290688837075
Dongguan,113.817076,23.190262,0.158319297624
Toulouse,1.460418,43.591073,0.0306757233004
Smolensk,32.34378,54.81225,0.298412466228
Le Mans,0.129943,47.965273,0.0460977222865
Berlin,13.401953,52.521819,0.0
Munich,11.580186,48.134953,0.00707106781186
Whangarei,164.616234,-33.303404,9.99077199219
-,11.717748,53.211742,0.51753453991
-,10.359435,52.456368,0.249633731695
Frolovo,43.890237,49.596798,0.295413269844
-,4.298855,51.887972,0.183806963959
Lille,3.14039,50.680542,0.0675351760196
-,44.618347,48.82289,0.158492902049
-,48.132378,54.610832,0.395278382915
-,30.278868,59.932372,0.0376563407675
Newcastle,151.793841,-32.924999,0.082710337927
Qapshaghay,77.080695,43.889128,0.013
