,0,1,2,3
65,65.0,"20,423,20,423,20,423,20,423","8.38605806971,31.6947382273,8.38605806971,31.6947382273,8.38605806971,31.6947382273,8.38605806971,31.6947382273","2,2,1,1,2,2,2,2"
66,66.0,"259,196","13.7546294083,7.13607101125","1,1"
67,67.0,"1320,1318","74.9598402302,65.3529487849","1,1"
68,68.0,"1039,1395","27.1550746723,5.61985942351","1,1"
69,69.0,"484,181,1106,484,181,1106,484,181,1106,484,181,1106","17.681131365,17.824287102,23.1292856457,17.681131365,17.824287102,23.1292856457,17.681131365,17.824287102,23.1292856457,17.681131365,17.824287102,23.1292856457","2,2,2,1,1,1,2,2,2,2,2,2"
70,70.0,"150,283","29.6877284047,2.37625025426","3,3"
71,71.0,"548,1067,654","592.402746339,1391.46543406,160.252471785","3,3,3"
72,72.0,"433,526","327.64153523,120.419117553","4,4"
73,73.0,"1286,1343,167","1610.95885675,946.07420424,1862.04441336","3,3,3"
74,74.0,"560,84,560,84,560,84,560,84","7.86523682134,3.05551696478,7.86523682134,3.05551696478,7.86523682134,3.05551696478,7.86523682134,3.05551696478","2,2,1,1,2,2,2,2"
75,75.0,"579,1141","17.1292614432,55.5546263127","3,3"
76,76.0,"371,287","138.831807443,68.72151286","1,1"
77,77.0,"427,860","55.827571749,29.1283313986","2,2"
78,78.0,"1244,674,496,1244,674,496","55.2369711046,0.0468444296407,0.187931315051,55.2369711046,0.0468444296407,0.187931315051","1,1,1,2,2,2"
79,79.0,"1056,352","14.3555508978,7.48982326353","1,1"
80,80.0,"354,801","28.9444048631,76.8071330352","1,1"
81,81.0,"1124,822","182.874008952,291.812929635","3,3"
82,82.0,"182,785,798","331.448213896,215.413891335,136.926607297","3,3,3"
83,83.0,"998,640","525.4324112,39.302658281","3,3"
84,84.0,"146,74,146,74,744,146,74,146,74","1.63856085663,3.05551696478,1.63856085663,3.05551696478,4.89861657603,1.63856085663,3.05551696478,1.63856085663,3.05551696478","2,2,1,1,3,2,2,2,2"
85,85.0,"334,752","21.8445111931,24.2361347896","4,4"
86,86.0,"807,1109,807,1109","34.9358487762,140.353495255,34.9358487762,140.353495255","2,2,1,1"
87,87.0,"581,1045","24.2185649197,30.5768471873","1,1"
88,88.0,"1395,1065","9.87639188889,80.7240615945","1,1"
89,89.0,"1021,738","205.156283606,120.293526742","2,2"
90,90.0,"538,981","79.9841884013,43.221686656","1,1"
91,91.0,797,58.737490455,1
92,92.0,"734,114","20.1227370795,22.7851479285","1,1"
93,93.0,"1173,357","51.0142385138,18.0684987957","1,1"
94,94.0,"1267,555,1267,555","114.566514717,177.891928102,114.566514717,177.891928102","1,1,2,2"
95,95.0,"283,579","3.63925310765,10.5076127166","3,3"
96,96.0,"1070,1113,1070,1113","84.9563234229,35.8047283324,84.9563234229,35.8047283324","2,2,1,1"
97,97.0,"631,952","102.23367453,274.039056534","1,1"
98,98.0,"410,1097","158.281342202,158.339202487","1,1"
99,99.0,"516,1110","1350.1405012,1129.2620589","3,3"
100,100.0,"202,459,202,459,202,459,202,459","26.0858345465,13.3372889751,26.0858345465,13.3372889751,26.0858345465,13.3372889751,26.0858345465,13.3372889751","2,2,1,1,2,2,2,2"
101,101.0,"977,303,977,303,977,303","48.2698382692,116.836960348,48.2698382692,116.836960348,48.2698382692,116.836960348","1,1,2,2,2,2"
102,102.0,"1322,226,171,131,299","1094.75525485,735.033236595,1535.64349572,1187.13977113,1184.34216892","3,3,3,3,3"
103,103.0,"869,847","156.834439469,121.785238195","1,1"
104,104.0,"1034,16","176.088918,286.442399829","3,3"
105,105.0,"351,847","173.043044969,213.240740143","1,1"
106,106.0,"759,1344","117.245510675,101.161141651","1,1"
107,107.0,"368,313,368,313,368,313","93.3392055224,12.6550014726,93.3392055224,12.6550014726,93.3392055224,12.6550014726","1,1,2,2,2,2"
108,108.0,"817,169","41.5874243979,69.8862333108","1,1"
109,109.0,"644,236","1416.47167889,1491.95219774","3,3"
110,110.0,"917,915,917,805","7.80490012883,53.6490262359,7.80490012883,35.9918280727","1,1,2,2"
111,111.0,"747,773,747,773,747,773,747,773","61.3580893926,67.2751184948,61.3580893926,67.2751184948,61.3580893926,67.2751184948,61.3580893926,67.2751184948","2,2,1,1,2,2,2,2"
112,112.0,"1019,12,1019,12","101.338794931,42.4050623773,101.338794931,42.4050623773","1,1,2,2"
113,113.0,"569,1306","210.886142699,94.2872465974","1,1"
